src,dst
1731549561,17407754
17407754,1731549561
17407754,17407756
17407756,17407754
17407756,1165381701
1165381701,17407756
1165381701,17407584
17407584,1165381701
17407762,2517460452
2517460452,17407762
2517460452,315742796
315742796,2517460452
315742796,315742568
315742568,315742796
315742568,1731549559
1731549559,315742568
17407757,2214631101
2214631101,17407757
2214631101,1203343667
1203343667,2214631101
1203343667,1203343677
1203343677,1203343667
1203343677,262556627
262556627,1203343677
17421107,315797604
315797604,17421107
315797604,17421101
17421101,315797604
17421101,315796931
315796931,17421101
315796931,17421100
17421100,315796931
17421100,26363660
26363660,17421100
1865839125,3307892288
3307892288,1865839125
3307892288,17421435
17421435,3307892288
17421435,1322128263
1322128263,17421435
1322128263,1396130046
1396130046,1322128263
315801412,318782686
318782686,315801412
318782686,17421767
17421767,318782686
17421767,17421769
17421769,17421767
17421769,17421771
17421771,17421769
17421771,315801412
315801412,17421771
315787871,17421085
17421085,315787871
17421085,17421084
17421084,17421085
17421084,1930844409
1930844409,17421084
1930844409,144297720
144297720,1930844409
17422447,2661093103
2661093103,17422447
2661093103,5073427674
5073427674,2661093103
5073427674,5073427675
5073427675,5073427674
5073427675,17422449
17422449,5073427675
17422449,2781094789
2781094789,17422449
2781094789,4973573305
4973573305,2781094789
4973573305,4973573304
4973573304,4973573305
4973573304,4973573344
4973573344,4973573304
4973573344,17422445
17422445,4973573344
17422445,5073427628
5073427628,17422445
5073427628,5032574290
5032574290,5073427628
5032574290,5032582851
5032582851,5032574290
5032582851,5032582852
5032582852,5032582851
5032582852,2661093084
2661093084,5032582852
2661093084,5032582855
5032582855,2661093084
5032582855,5032582860
5032582860,5032582855
5032582860,5032582862
5032582862,5032582860
5032582862,5032582869
5032582869,5032582862
5032582869,5032574296
5032574296,5032582869
5032574296,5032574302
5032574302,5032574296
5032574302,17422447
17422447,5032574302
1930874908,1930874920
1930874920,1930874908
1930874920,1398733657
1398733657,1930874920
1398733657,4597873701
4597873701,1398733657
4597873701,1398733729
1398733729,4597873701
1398733729,17422529
17422529,1398733729
17422529,17422530
17422530,17422529
17422530,17422531
17422531,17422530
17422531,17422532
17422532,17422531
17422532,17422533
17422533,17422532
17422533,1240750282
1240750282,17422533
1240750282,1240750298
1240750298,1240750282
1240750298,1788588134
1788588134,1240750298
